City,Zip_Codes,Lat,Lon
Addison,75001,32.96,-96.84
Allen,75002,33.08,-96.61
Carrollton,75006,32.95,-96.89
Carrollton,75007,33.0,-96.9
Celina,75009,33.3,-96.8
Carrollton,75010,33.03,-96.9
Allen,75013,33.12,-96.69
Coppell,75019,32.96,-96.98
Flower Mound,75022,33.03,-97.12
Plano,75023,33.05,-96.73
Plano,75024,33.08,-96.81
Plano,75025,33.1,-96.73
Flower Mound,75028,33.03,-97.07
Frisco,75033,,
Frisco,75034,33.12,-96.88
Frisco,75035,33.16,-96.77
Frisco,75036,,
Irving,75038,32.88,-96.98
Irving,75039,32.88,-96.95
Garland,75040,32.93,-96.62
Garland,75041,32.88,-96.65
Garland,75042,32.92,-96.68
Garland,75043,32.86,-96.59
Garland,75044,32.96,-96.65
Sachse,75048,32.97,-96.58
Grand Prairie,75050,32.78,-96.99
Grand Prairie,75051,32.73,-96.99
Grand Prairie,75052,32.65,-97.02
Grand Prairie,75054,32.6,-97.04
The Colony,75056,33.07,-96.9
Lewisville,75057,33.05,-96.98
Irving,75060,32.79,-96.95
Irving,75061,32.83,-97.01
Irving,75062,32.85,-96.96
Irving,75063,32.92,-96.98
Lake Dallas,75065,33.12,-97.03
Lewisville,75067,33.02,-96.99
Little Elm,75068,33.15,-96.95
Mckinney,75069,33.18,-96.59
Mckinney,75070,33.16,-96.72
Mckinney,75071,33.3,-96.6
Mckinney,75072,,
Plano,75074,33.04,-96.67
Plano,75075,33.02,-96.75
Lewisville,75077,33.08,-97.07
Prosper,75078,33.26,-96.82
Richardson,75080,32.97,-96.74
Richardson,75081,32.95,-96.72
Richardson,75082,32.99,-96.66
Rowlett,75088,32.89,-96.55
Rowlett,75089,32.94,-96.55
Plano,75093,33.04,-96.81
Plano,75094,33.01,-96.62
Wylie,75098,33.02,-96.52
Cedar Hill,75104,32.59,-96.96
Desoto,75115,32.61,-96.87
Duncanville,75116,32.66,-96.92
Lancaster,75134,32.63,-96.76
Duncanville,75137,32.63,-96.91
Hutchins,75141,32.64,-96.7
Lancaster,75146,32.57,-96.74
Mesquite,75149,32.77,-96.62
Mesquite,75150,32.82,-96.63
Seagoville,75159,32.6,-96.6
Lavon,75166,33.02,-96.45
Wilmer,75172,32.61,-96.67
Nevada,75173,33.06,-96.38
Balch Springs,75180,32.72,-96.61
Mesquite,75181,32.74,-96.55
Sunnyvale,75182,32.79,-96.56
Dallas,75201,32.79,-96.8
Dallas,75202,32.78,-96.8
Dallas,75203,32.74,-96.79
Dallas,75204,32.8,-96.79
Dallas,75205,32.83,-96.79
Dallas,75206,32.83,-96.77
Dallas,75207,32.78,-96.82
Dallas,75208,32.75,-96.84
Dallas,75209,32.84,-96.83
Dallas,75210,32.76,-96.74
Dallas,75211,32.74,-96.92
Dallas,75212,32.78,-96.87
Dallas,75214,32.83,-96.74
Dallas,75215,32.75,-96.77
Dallas,75216,32.71,-96.77
Dallas,75217,32.7,-96.68
Dallas,75218,32.84,-96.7
Dallas,75219,32.81,-96.82
Dallas,75220,32.86,-96.87
Dallas,75223,32.79,-96.75
Dallas,75224,32.71,-96.84
Dallas,75225,32.87,-96.79
Dallas,75226,32.78,-96.78
Dallas,75227,32.77,-96.69
Dallas,75228,32.83,-96.68
Dallas,75229,32.9,-96.89
Dallas,75230,32.9,-96.79
Dallas,75231,32.88,-96.75
Dallas,75232,32.66,-96.84
Dallas,75233,32.71,-96.87
Dallas,75234,32.92,-96.9
Dallas,75235,32.83,-96.85
Dallas,75236,32.69,-96.94
Dallas,75237,32.66,-96.87
Dallas,75238,32.88,-96.71
Dallas,75240,32.93,-96.79
Dallas,75241,32.67,-96.76
Dallas,75242,,
Dallas,75243,32.91,-96.74
Dallas,75244,32.93,-96.84
Dallas,75246,32.793,-96.773
Dallas,75247,32.83,-96.88
Dallas,75248,32.97,-96.8
Dallas,75249,32.64,-96.97
Dallas,75251,32.917,-96.773
Dallas,75252,33.0,-96.79
Dallas,75253,32.67,-96.61
Dallas,75254,32.95,-96.8
Dallas,75260,,
Dallas,75270,32.7813,-96.8017
Dallas,75287,33.0,-96.84
Dallas,75342,,
Dallas,75398,,
Princeton,75407,33.1,-96.5
Anna,75409,33.3,-96.5
Blue Ridge,75424,33.31,-96.39
Farmersville,75442,33.2,-96.3
Melissa,75454,33.28,-96.56
Arlington,76001,32.63,-97.15
Arlington,76002,32.62,-97.09
Arlington,76005,,
Arlington,76006,32.78,-97.1
Arlington,76010,32.72,-97.08
Arlington,76011,32.76,-97.08
Arlington,76012,32.76,-97.15
Arlington,76013,32.72,-97.16
Arlington,76014,32.69,-97.09
Arlington,76015,32.69,-97.13
Arlington,76016,32.69,-97.19
Arlington,76017,32.66,-97.17
Arlington,76018,32.66,-97.09
Azle,76020,32.9,-97.6
Bedford,76021,32.85,-97.13
Bedford,76022,32.83,-97.14
Colleyville,76034,32.89,-97.14
Crowley,76036,32.58,-97.41
Euless,76039,32.86,-97.09
Euless,76040,32.81,-97.1
Grapevine,76051,32.94,-97.07
Haslet,76052,32.98,-97.39
Hurst,76053,32.82,-97.17
Hurst,76054,32.86,-97.18
Kennedale,76060,32.64,-97.21
Mansfield,76063,32.57,-97.13
Southlake,76092,32.96,-97.15
Fort Worth,76102,32.76,-97.33
Fort Worth,76103,32.75,-97.27
Fort Worth,76104,32.73,-97.32
Fort Worth,76105,32.72,-97.27
Fort Worth,76106,32.81,-97.36
Fort Worth,76107,32.74,-97.38
Fort Worth,76108,32.78,-97.51
Fort Worth,76109,32.7,-97.39
Fort Worth,76110,32.71,-97.34
Fort Worth,76111,32.78,-97.3
Fort Worth,76112,32.75,-97.23
Fort Worth,76114,32.78,-97.39
Fort Worth,76115,32.68,-97.33
Fort Worth,76116,32.72,-97.46
Haltom City,76117,32.8,-97.26
Fort Worth,76118,32.8,-97.19
Fort Worth,76119,32.7,-97.26
Fort Worth,76120,32.76,-97.17
Fort Worth,76123,32.62,-97.39
Fort Worth,76126,32.6,-97.5
Naval Air Station JRB,76127,32.78,-97.42
Fort Worth,76131,32.88,-97.35
Fort Worth,76132,32.66,-97.42
Fort Worth,76133,32.66,-97.38
Fort Worth,76134,32.64,-97.33
Fort Worth,76135,32.84,-97.47
Fort Worth,76137,32.85,-97.29
Fort Worth,76140,32.62,-97.27
Fort Worth,76148,32.87,-97.25
Fort Worth,76155,32.81,-97.05
Fort Worth,76164,32.78,-97.36
Fort Worth,76177,32.97,-97.29
Fort Worth,76179,32.9,-97.4
North Richland Hills,76180,32.84,-97.22
North Richland Hills,76182,32.89,-97.21
Denton,76201,33.22,-97.15
Denton,76205,33.19,-97.13
Denton,76207,33.2,-97.2
Denton,76208,33.21,-97.07
Denton,76209,33.23,-97.11
Denton,76210,33.15,-97.1
Argyle,76226,33.12,-97.17
Aubrey,76227,33.3,-97.0
Keller,76244,32.93,-97.28
Justin,76247,33.1,-97.3
Keller,76248,32.93,-97.22
Krum,76249,33.3,-97.3
Pilot Point,76258,33.4,-96.9
Ponder,76259,33.21,-97.3
Roanoke,76262,33.01,-97.23
Sanger,76266,33.4,-97.2
Houston,77002,29.75,-95.37
Houston,77003,29.75,-95.35
Houston,77004,29.72,-95.38
Houston,77005,29.72,-95.42
Houston,77006,29.74,-95.39
Houston,77007,29.77,-95.41
Houston,77008,29.8,-95.42
Houston,77009,29.79,-95.37
Houston,77010,29.754,-95.36
Houston,77011,29.74,-95.3
Houston,77012,29.72,-95.27
Houston,77013,29.8,-95.24
Houston,77014,29.99,-95.46
Houston,77015,29.77,-95.16
Houston,77016,29.86,-95.3
Houston,77017,29.68,-95.26
Houston,77018,29.83,-95.43
Houston,77019,29.75,-95.41
Houston,77020,29.77,-95.32
Houston,77021,29.7,-95.36
Houston,77022,29.83,-95.38
Houston,77023,29.72,-95.31
Houston,77024,29.77,-95.5
Houston,77025,29.68,-95.43
Houston,77026,29.8,-95.32
Houston,77027,29.74,-95.45
Houston,77028,29.83,-95.29
Houston,77029,29.76,-95.25
Houston,77030,29.71,-95.41
Houston,77031,29.66,-95.55
Houston,77032,29.97,-95.34
Houston,77033,29.67,-95.34
Houston,77034,29.62,-95.2
Houston,77035,29.65,-95.48
Houston,77036,29.69,-95.53
Houston,77037,29.9,-95.39
Houston,77038,29.92,-95.45
Houston,77039,29.91,-95.34
Houston,77040,29.87,-95.54
Houston,77041,29.87,-95.57
Houston,77042,29.74,-95.56
Houston,77043,29.81,-95.58
Houston,77044,29.9,-95.17
Houston,77045,29.64,-95.43
Houston,77046,29.732,-95.435
Houston,77047,29.61,-95.38
Houston,77048,29.62,-95.33
Houston,77049,29.84,-95.15
Houston,77050,29.9,-95.27
Houston,77051,29.66,-95.37
Houston,77053,29.58,-95.46
Houston,77054,29.68,-95.41
Houston,77055,29.8,-95.5
Houston,77056,29.75,-95.47
Houston,77057,29.75,-95.49
Houston,77058,29.56,-95.1
Houston,77059,29.61,-95.12
Houston,77060,29.93,-95.4
Houston,77061,29.65,-95.28
Houston,77062,29.57,-95.14
Houston,77063,29.74,-95.52
Houston,77064,29.93,-95.54
Houston,77065,29.92,-95.61
Houston,77066,29.96,-95.5
Houston,77067,29.95,-95.45
Houston,77068,30.01,-95.49
Houston,77069,29.99,-95.52
Houston,77070,29.98,-95.58
Houston,77071,29.65,-95.52
Houston,77072,29.69,-95.59
Houston,77073,30.0,-95.4
Houston,77074,29.69,-95.53
Houston,77075,29.62,-95.26
Houston,77076,29.85,-95.38
Houston,77077,29.75,-95.63
Houston,77078,29.85,-95.26
Houston,77079,29.79,-95.6
Houston,77080,29.81,-95.52
Houston,77081,29.71,-95.48
Houston,77082,29.74,-95.64
Houston,77083,29.69,-95.65
Houston,77084,29.83,-95.66
Houston,77085,29.62,-95.49
Houston,77086,29.92,-95.49
Houston,77087,29.69,-95.3
Houston,77088,29.88,-95.45
Houston,77089,29.59,-95.22
Houston,77090,30.0,-95.45
Houston,77091,29.86,-95.44
Houston,77092,29.83,-95.47
Houston,77093,29.86,-95.34
Houston,77094,29.76,-95.69
Houston,77095,29.91,-95.64
Houston,77096,29.67,-95.48
Houston,77098,29.73,-95.42
Houston,77099,29.67,-95.59
Houston,77201,29.7655,-95.3658
Conroe,77301,30.3,-95.43
Conroe,77302,30.23,-95.36
Conroe,77303,30.4,-95.4
Conroe,77304,30.33,-95.52
Conroe,77306,30.27,-95.31
North Houston,77315,,
Montgomery,77316,30.3,-95.7
Willis,77318,30.44,-95.54
Huffman,77336,30.06,-95.1
Humble,77338,30.01,-95.29
Kingwood,77339,30.05,-95.22
Kingwood,77345,30.06,-95.16
Humble,77346,29.98,-95.18
Magnolia,77354,30.2,-95.7
Magnolia,77355,30.16,-95.75
Montgomery,77356,30.4,-95.7
New Caney,77357,30.2,-95.2
Pinehurst,77362,30.16,-95.66
Porter,77365,30.11,-95.27
Splendora,77372,30.25,-95.17
Spring,77373,30.07,-95.37
Tomball,77375,30.09,-95.59
Tomball,77377,30.06,-95.68
Willis,77378,30.5,-95.4
Spring,77379,30.04,-95.53
Spring,77380,30.14,-95.47
Spring,77381,30.18,-95.5
Spring,77382,30.2,-95.54
Conroe,77384,30.23,-95.5
Conroe,77385,30.18,-95.4
Spring,77386,30.09,-95.36
Spring,77388,30.05,-95.47
Spring,77389,30.13,-95.49
Humble,77396,29.94,-95.25
Bellaire,77401,29.71,-95.47
Richmond,77406,29.6,-95.8
Richmond,77407,29.66,-95.73
Beasley,77417,29.48,-95.98
Cypress,77429,29.98,-95.66
Cypress,77433,29.96,-95.74
Fulshear,77441,29.7,-95.9
Guy,77444,29.3,-95.79
Hockley,77447,30.1,-95.8
Katy,77449,29.83,-95.73
Katy,77450,29.74,-95.74
Missouri City,77459,29.53,-95.52
Needville,77461,29.4,-95.8
Richmond,77469,29.5,-95.7
Rosenberg,77471,29.5,-95.9
Stafford,77477,29.63,-95.56
Sugar Land,77478,29.62,-95.61
Sugar Land,77479,29.56,-95.64
Waller,77484,30.1,-95.9
Missouri City,77489,29.61,-95.51
Katy,77493,29.85,-95.84
Katy,77494,29.74,-95.84
Sugar Land,77498,29.64,-95.65
Pasadena,77502,29.68,-95.2
Pasadena,77503,29.71,-95.16
Pasadena,77504,29.65,-95.19
Pasadena,77505,29.65,-95.14
Pasadena,77506,29.71,-95.21
Pasadena,77507,29.62,-95.08
Baytown,77520,29.75,-95.0
Baytown,77521,29.82,-94.97
Channelview,77530,29.78,-95.11
Crosby,77532,29.9,-95.0
Deer Park,77536,29.71,-95.12
Fresno,77545,29.54,-95.47
Galena Park,77547,29.74,-95.23
Highlands,77562,29.83,-95.05
La Porte,77571,29.69,-95.04
Seabrook,77586,29.58,-95.03
South Houston,77587,29.66,-95.23
Webster,77598,29.55,-95.14
Atascosa,78002,29.28,-98.74
Helotes,78023,29.6,-98.8
Somerset,78069,29.19,-98.68
Von Ormy,78073,29.24,-98.63
Adkins,78101,29.35,-98.24
Converse,78109,29.48,-98.28
Elmendorf,78112,29.2,-98.4
Universal City,78148,29.55,-98.3
Jbsa Randolph,78150,29.53,-98.28
Saint Hedwig,78152,29.42,-98.2
San Antonio,78201,29.48,-98.53
San Antonio,78202,29.43,-98.46
San Antonio,78203,29.41,-98.46
San Antonio,78204,29.41,-98.51
San Antonio,78205,29.43,-98.49
San Antonio,78206,,
San Antonio,78207,29.42,-98.52
San Antonio,78208,29.44,-98.46
San Antonio,78209,29.49,-98.46
San Antonio,78210,29.4,-98.46
San Antonio,78211,29.34,-98.57
San Antonio,78212,29.46,-98.49
San Antonio,78213,29.52,-98.53
San Antonio,78214,29.33,-98.48
San Antonio,78215,29.44,-98.48
San Antonio,78216,29.53,-98.48
San Antonio,78217,29.55,-98.43
San Antonio,78218,29.49,-98.4
San Antonio,78219,29.45,-98.38
San Antonio,78220,29.41,-98.39
San Antonio,78221,29.29,-98.47
San Antonio,78222,29.37,-98.39
San Antonio,78223,29.3,-98.4
San Antonio,78224,29.31,-98.54
San Antonio,78225,29.38,-98.53
San Antonio,78226,29.38,-98.56
San Antonio,78227,29.39,-98.64
San Antonio,78228,29.46,-98.57
San Antonio,78229,29.51,-98.57
San Antonio,78230,29.54,-98.56
San Antonio,78231,29.57,-98.55
San Antonio,78232,29.58,-98.48
San Antonio,78233,29.56,-98.37
Jbsa Ft Sam Houston,78234,29.46,-98.44
San Antonio,78235,29.34,-98.44
Jbsa Lackland,78236,29.38,-98.61
San Antonio,78237,29.42,-98.57
San Antonio,78238,29.47,-98.61
San Antonio,78239,29.52,-98.36
San Antonio,78240,29.52,-98.61
San Antonio,78241,,
San Antonio,78242,29.35,-98.6
San Antonio,78243,29.371,-98.597
San Antonio,78244,29.48,-98.34
San Antonio,78245,29.41,-98.72
San Antonio,78247,29.57,-98.41
San Antonio,78248,29.59,-98.53
San Antonio,78249,29.57,-98.62
San Antonio,78250,29.5,-98.67
San Antonio,78251,29.46,-98.67
San Antonio,78252,29.34,-98.71
San Antonio,78253,29.47,-98.8
San Antonio,78254,29.54,-98.72
San Antonio,78255,29.64,-98.67
San Antonio,78256,29.63,-98.62
San Antonio,78257,29.64,-98.58
San Antonio,78258,29.65,-98.51
San Antonio,78259,29.63,-98.41
San Antonio,78260,29.69,-98.52
San Antonio,78261,29.68,-98.4
San Antonio,78263,29.35,-98.31
San Antonio,78264,29.21,-98.5
San Antonio,78284,,
San Antonio,78285,,
Del Valle,78617,30.15,-97.58
Leander,78645,30.44,-97.95
Manchaca,78652,30.13,-97.86
Manor,78653,30.3,-97.5
Pflugerville,78660,30.43,-97.6
Spicewood,78669,30.4,-98.1
Austin,78701,30.27,-97.74
Austin,78702,30.26,-97.71
Austin,78703,30.29,-97.77
Austin,78704,30.24,-97.75
Austin,78705,30.29,-97.74
Austin,78710,,
Austin,78712,30.286,-97.734
Austin,78719,30.15,-97.67
Austin,78721,30.27,-97.68
Austin,78722,30.29,-97.72
Austin,78723,30.3,-97.69
Austin,78724,30.29,-97.61
Austin,78725,30.25,-97.62
Austin,78726,30.43,-97.84
Austin,78727,30.43,-97.72
Austin,78728,30.45,-97.69
Austin,78730,30.37,-97.84
Austin,78731,30.35,-97.77
Austin,78732,30.38,-97.89
Austin,78733,30.32,-97.87
Austin,78734,30.38,-97.96
Austin,78735,30.27,-97.87
Austin,78736,30.24,-97.89
Austin,78738,30.31,-97.98
