ethnicity,name,address,price_level,rating
chinese,Betty's Best Around,"3607A Greenville Ave, Dallas",1,3.7
cuban,Havana Cafe-Mojito Bar,"1152 N Buckner Blvd, Dallas",2,4.4
czech,Four Czechs Bakery,"104 East Fate Main Place Suite A, Fate",,
french,Edith's French Cafe,"5331 E Mockingbird Ln #160, Dallas",2,4.2
german,Kuby's Sausage House,"6601 Snider Plaza, Dallas",1,4.7
greek,Ziziki's,"4514 Travis St #122, Dallas",2,4.6
haitian,Taste Of Miami Restaurant & Catering,"205 S Main St #19-05, Red Oak",,
hungarian,Armoury D.E.,"2714 Elm St, Dallas",2,4.7
indian,Roti Grill Restaurant,"4438 McKinney Ave, Dallas",2,4.1
indonesian,Secret Recipe,"1404 W Hebron Pkwy #103, Carrollton",2,4.3
irish,Trinity Hall Irish Pub & Restaurant,"5321 E Mockingbird Ln #250, Dallas",2,4.5
israeli,Food From Galilee,"6710 Snider Plaza, Dallas",1,4.7
italian,Campisi's,"5610 E Mockingbird Ln, Dallas",2,4.4
japanese,Kaze | Japanese Restaurant,"7525 Greenville Ave, Dallas",2,4.5
jewish,Aderet Grill and Salads,"13410 Preston Rd J, Dallas",2,4.6
korean,bbbop,"5323 Greenville Ave, Dallas",1,4.5
lebanese,Open Sesame Lebanese Grill,"2615 Oak Lawn Ave, Dallas",2,4.7
mexican,Desperados Mexican Restaurant,"4818 Greenville Ave, Dallas",2,4.4
new american,Gemma,"2323 N Henderson Ave #109, Dallas",2,4.7
pakistani,Mehran Restaurant & Catering,"1800 Valley View Ln, Irving",2,4.2
polish,Taste of Poland European Tavern,"2301 Central Expy #155, Plano",2,4.4
russian,Russian Banya of Dallas,"2515 E Rosemeade Pkwy #401, Carrollton",2,4.4
scandinavian,,,,
scottish,,,,
soul food,Sweet Georgia Brown,"2840 Ledbetter Dr, Dallas",2,4.4
spanish,Cafe Madrid,"4501 Travis St, Dallas",2,4.4
thai,Bangkok Inn,"6033 Oram St, Dallas",1,4.4
turkish,Cafe Izmir,"3711 Greenville Ave, Dallas",2,4.4
ukrainian,Russian Banya of Dallas,"2515 E Rosemeade Pkwy #401, Carrollton",2,4.4
vietnamese,Vietnam Restaurant,"4302 Bryan St, Dallas",1,4.4
