ethnicity,name,address,price_level,rating
chinese,China Garden Restaurant,"1602 Leeland St, Houston",2,4.2
cuban,Rincon Criollo,"2150 Hwy 6 # 150, Houston",2,4.6
czech,Polonia,"1780 Blalock Rd, Houston",2,4.6
french,Chez Nous,"217 S Avenue G, Humble",3,4.8
german,King's BierHaus,"2044 E T C Jester Blvd, Houston",2,4.4
greek,Alexander the Great,"3055 Sage Rd, Houston",2,4.5
haitian,Haitian Caribbean Bakery Take Out & Store,"12600 Bissonnet St suite c4, Houston",,
hungarian,,,,
indian,Palette Indian Kitchen,"3559 Rayford Rd Suite 200, Spring",2,4.6
indonesian,Rice Bowl Chinese Restaurant,"14360 Bellaire Blvd, Houston",1,4.4
irish,McGonigel's Mucky Duck,"2425 Norfolk St, Houston",2,4.7
israeli,My Pita,"9806 Hillcroft St, Houston",2,4.4
italian,North Italia,"1700 Post Oak Blvd #190, Houston",2,4.5
japanese,Fukuda Japanese Restaurant,"25701 Interstate 45 N, The Woodlands",2,4.6
jewish,Saba's Restaurant,"9704 Fondren Rd, Houston",,
korean,Jin Korean BBQ,"3645 Cypress Creek Pkwy ste 110, Houston",2,4.3
lebanese,Mary'z Mediterranean Cuisine,"5825 Richmond Ave, Houston",2,4.4
mexican,Lopez Mexican Restaurant,"11606 S Wilcrest Dr, Houston",2,4.6
new american,Benjy's,"2424 Dunstan Rd, Houston",2,4.5
pakistani,Aga's Restaurant & Catering,"11842 Wilcrest Dr, Houston",2,4.8
polish,Polonia,"1780 Blalock Rd, Houston",2,4.6
russian,Terrace Cafe,"8225 Cantrell St, Houston",,
scandinavian,Cafe Brussels,"1718 Houston Ave, Houston",2,4.5
scottish,Bayview Duck Restaurant,"3131 TX-146, Bacliff",2,4.7
soul food,Mikki's Soulfood Cafe,"10500 W Bellfort Ave #100, Houston",2,4.4
spanish,BCN Taste & Tradition,"4210 Roseland St, Houston",4,4.7
thai,Asia Market Thai Restaurant,"4822 Fulton St, Houston",2,4.5
turkish,Pasha Restaurant,"2325 University Blvd, Houston",2,4.6
ukrainian,Polonia,"1780 Blalock Rd, Houston",2,4.6
vietnamese,EAD Vietnamese Restaurant,"17943 I-45, Shenandoah",,
