City,Lat,Lon,Pop_15to44,Population
Addison,32.96,-96.84,8826.0,14617.0
Allen,33.08,-96.61,28557.0,69688.0
Carrollton,32.95,-96.89,21488.0,50788.0
Carrollton,33.0,-96.9,21743.0,53744.0
Celina,33.3,-96.8,4179.0,10557.0
Carrollton,33.03,-96.9,13173.0,27822.0
Allen,33.12,-96.69,15089.0,38975.0
Coppell,32.96,-96.98,15538.0,41947.0
Flower Mound,33.03,-97.12,8358.0,24625.0
Plano,33.05,-96.73,19871.0,49563.0
Plano,33.08,-96.81,19531.0,42405.0
Plano,33.1,-96.73,20643.0,53559.0
Flower Mound,33.03,-97.07,17616.0,47056.0
Frisco,33.12,-96.88,39239.0,95996.0
Frisco,33.16,-96.77,27831.0,65264.0
Irving,32.88,-96.98,16331.0,29762.0
Irving,32.88,-96.95,11060.0,18010.0
Garland,32.93,-96.62,25643.0,62277.0
Garland,32.88,-96.65,14295.0,33304.0
Garland,32.92,-96.68,16966.0,39559.0
Garland,32.86,-96.59,23135.0,59951.0
Garland,32.96,-96.65,16154.0,40942.0
Sachse,32.97,-96.58,10120.0,24203.0
Grand Prairie,32.78,-96.99,19994.0,42670.0
Grand Prairie,32.73,-96.99,18347.0,40962.0
Grand Prairie,32.65,-97.02,40943.0,94133.0
Grand Prairie,32.6,-97.04,4534.0,10764.0
The Colony,33.07,-96.9,26630.0,57115.0
Lewisville,33.05,-96.98,7029.0,14562.0
Irving,32.79,-96.95,19980.0,47922.0
Irving,32.83,-97.01,25190.0,54907.0
Irving,32.85,-96.96,22245.0,48553.0
Irving,32.92,-96.98,19666.0,38383.0
Lake Dallas,33.12,-97.03,4881.0,12457.0
Lewisville,33.02,-96.99,32882.0,66896.0
Little Elm,33.15,-96.95,26614.0,55848.0
Mckinney,33.18,-96.59,14635.0,36879.0
Mckinney,33.16,-96.72,38372.0,93299.0
Mckinney,33.3,-96.6,22072.0,49846.0
Plano,33.04,-96.67,22268.0,48977.0
Plano,33.02,-96.75,13690.0,35933.0
Lewisville,33.08,-97.07,12915.0,36181.0
Prosper,33.26,-96.82,8462.0,20611.0
Richardson,32.97,-96.74,21999.0,50247.0
Richardson,32.95,-96.72,15547.0,37960.0
Richardson,32.99,-96.66,8840.0,23733.0
Rowlett,32.89,-96.55,9438.0,25842.0
Rowlett,32.94,-96.55,13208.0,33117.0
Plano,33.04,-96.81,16950.0,48021.0
Plano,33.01,-96.62,8880.0,23097.0
Wylie,33.02,-96.52,23185.0,54534.0
Cedar Hill,32.59,-96.96,20393.0,48568.0
Desoto,32.61,-96.87,19389.0,52377.0
Duncanville,32.66,-96.92,7817.0,19996.0
Lancaster,32.63,-96.76,9485.0,22106.0
Duncanville,32.63,-96.91,7969.0,19640.0
Hutchins,32.64,-96.7,3418.0,5815.0
Lancaster,32.57,-96.74,7696.0,19071.0
Mesquite,32.77,-96.62,23075.0,55797.0
Mesquite,32.82,-96.63,26640.0,62297.0
Seagoville,32.6,-96.6,8011.0,19440.0
Lavon,33.02,-96.45,1704.0,4057.0
Wilmer,32.61,-96.67,2027.0,4109.0
Nevada,33.06,-96.38,1560.0,4166.0
Balch Springs,32.72,-96.61,10947.0,24112.0
Mesquite,32.74,-96.55,11345.0,27588.0
Sunnyvale,32.79,-96.56,2335.0,6077.0
Dallas,32.79,-96.8,10980.0,15185.0
Dallas,32.78,-96.8,1389.0,2029.0
Dallas,32.74,-96.79,7231.0,16351.0
Dallas,32.8,-96.79,20685.0,30370.0
Dallas,32.83,-96.79,10515.0,24211.0
Dallas,32.83,-96.77,24214.0,38762.0
Dallas,32.78,-96.82,6233.0,8028.0
Dallas,32.75,-96.84,13184.0,29448.0
Dallas,32.84,-96.83,5733.0,13898.0
Dallas,32.76,-96.74,3704.0,8243.0
Dallas,32.74,-96.92,35565.0,77600.0
Dallas,32.78,-96.87,10903.0,26120.0
Dallas,32.83,-96.74,14740.0,34145.0
Dallas,32.75,-96.77,6263.0,15664.0
Dallas,32.71,-96.77,20393.0,52895.0
Dallas,32.7,-96.68,36705.0,85249.0
Dallas,32.84,-96.7,8771.0,22264.0
Dallas,32.81,-96.82,12573.0,23277.0
Dallas,32.86,-96.87,20921.0,42642.0
Dallas,32.79,-96.75,5912.0,14351.0
Dallas,32.71,-96.84,16594.0,36468.0
Dallas,32.87,-96.79,6034.0,21568.0
Dallas,32.78,-96.78,2565.0,4790.0
Dallas,32.77,-96.69,23830.0,57806.0
Dallas,32.83,-96.68,32092.0,74605.0
Dallas,32.9,-96.89,12824.0,32390.0
Dallas,32.9,-96.79,9370.0,27521.0
Dallas,32.88,-96.75,19603.0,40464.0
Dallas,32.66,-96.84,11117.0,30714.0
Dallas,32.71,-96.87,6517.0,16318.0
Dallas,32.92,-96.9,13347.0,32589.0
Dallas,32.83,-96.85,9628.0,18794.0
Dallas,32.69,-96.94,8382.0,18542.0
Dallas,32.66,-96.87,9480.0,20295.0
Dallas,32.88,-96.71,13815.0,33009.0
Dallas,32.93,-96.79,13859.0,27875.0
