Median Age,Population,Household Income,Per Capita Income,Name,Zip_Codes
38.9,17599.0,11757.0,7041.0,ZCTA5 00601,601
40.9,39209.0,16190.0,8978.0,ZCTA5 00602,602
40.4,50135.0,16645.0,10897.0,ZCTA5 00603,603
42.8,6304.0,13387.0,5960.0,ZCTA5 00606,606
41.4,27590.0,18741.0,9266.0,ZCTA5 00610,610
41.4,62566.0,17744.0,10283.0,ZCTA5 00612,612
43.7,10687.0,14918.0,9002.0,ZCTA5 00616,616
38.7,24508.0,17157.0,8762.0,ZCTA5 00617,617
48.4,7405.0,16727.0,11935.0,ZCTA5 00622,622
41.3,42321.0,16401.0,9101.0,ZCTA5 00623,623
37.2,23238.0,16832.0,8072.0,ZCTA5 00624,624
40.1,32936.0,17579.0,9738.0,ZCTA5 00627,627
48.2,1555.0,9632.0,7690.0,ZCTA5 00631,631
40.9,23610.0,15736.0,9158.0,ZCTA5 00637,637
40.3,17202.0,14448.0,8108.0,ZCTA5 00638,638
41.9,28332.0,16292.0,8305.0,ZCTA5 00641,641
39.4,38008.0,29160.0,15397.0,ZCTA5 00646,646
47.1,5610.0,13071.0,7058.0,ZCTA5 00647,647
38.6,14664.0,16095.0,7698.0,ZCTA5 00650,650
38.8,3681.0,20564.0,11439.0,ZCTA5 00652,652
38.7,11717.0,12236.0,7279.0,ZCTA5 00653,653
40.3,19546.0,14966.0,8327.0,ZCTA5 00656,656
40.7,40978.0,17770.0,10360.0,ZCTA5 00659,659
45.1,16474.0,19674.0,11588.0,ZCTA5 00660,660
40.6,41341.0,16771.0,8883.0,ZCTA5 00662,662
36.3,15396.0,15401.0,7134.0,ZCTA5 00664,664
43.6,24089.0,13843.0,7256.0,ZCTA5 00667,667
40.9,26510.0,12996.0,8236.0,ZCTA5 00669,669
40.1,8797.0,14456.0,7293.0,ZCTA5 00670,670
41.1,40826.0,18032.0,10520.0,ZCTA5 00674,674
38.6,37862.0,13416.0,7893.0,ZCTA5 00676,676
44.6,14569.0,18333.0,10236.0,ZCTA5 00677,677
39.3,26642.0,15730.0,9103.0,ZCTA5 00678,678
41.6,48035.0,14500.0,10277.0,ZCTA5 00680,680
37.3,32820.0,15315.0,11236.0,ZCTA5 00682,682
42.9,31627.0,15043.0,9547.0,ZCTA5 00683,683
42.6,38849.0,14128.0,8080.0,ZCTA5 00685,685
37.0,31785.0,18739.0,8816.0,ZCTA5 00687,687
40.7,12360.0,15918.0,8636.0,ZCTA5 00688,688
41.9,5587.0,18491.0,10644.0,ZCTA5 00690,690
37.6,36218.0,18076.0,10586.0,ZCTA5 00692,692
40.0,56327.0,18971.0,10209.0,ZCTA5 00693,693
73.1,88.0,14375.0,7647.0,ZCTA5 00694,694
42.0,37493.0,14487.0,8139.0,ZCTA5 00698,698
40.2,27137.0,16532.0,10235.0,ZCTA5 00703,703
36.0,7842.0,13960.0,7585.0,ZCTA5 00704,704
40.6,23831.0,18207.0,10172.0,ZCTA5 00705,705
43.5,11240.0,17489.0,8761.0,ZCTA5 00707,707
38.8,18363.0,15820.0,7685.0,ZCTA5 00714,714
41.3,3645.0,12440.0,7579.0,ZCTA5 00715,715
42.2,29191.0,18514.0,13034.0,ZCTA5 00716,716
36.9,17285.0,11269.0,9711.0,ZCTA5 00717,717
36.9,26073.0,18998.0,10107.0,ZCTA5 00718,718
39.0,29684.0,18401.0,9006.0,ZCTA5 00719,719
37.5,21753.0,14533.0,7326.0,ZCTA5 00720,720
43.3,17826.0,14554.0,8723.0,ZCTA5 00723,723
40.4,82822.0,20374.0,12575.0,ZCTA5 00725,725
38.8,56023.0,30797.0,15666.0,ZCTA5 00727,727
37.7,40326.0,18097.0,9181.0,ZCTA5 00728,728
38.9,52244.0,20508.0,11066.0,ZCTA5 00729,729
41.3,32735.0,15367.0,10834.0,ZCTA5 00730,730
39.8,13862.0,16389.0,9432.0,ZCTA5 00731,731
40.7,12749.0,18947.0,11580.0,ZCTA5 00735,735
41.3,48476.0,20166.0,12391.0,ZCTA5 00736,736
40.7,31558.0,19284.0,11081.0,ZCTA5 00738,738
38.5,37380.0,20619.0,11107.0,ZCTA5 00739,739
36.5,1517.0,12934.0,7125.0,ZCTA5 00740,740
41.0,5168.0,22766.0,9385.0,ZCTA5 00741,741
40.1,52624.0,22909.0,10927.0,ZCTA5 00745,745
39.5,22174.0,16188.0,8951.0,ZCTA5 00751,751
40.1,38636.0,18594.0,10482.0,ZCTA5 00754,754
37.2,22475.0,16816.0,10478.0,ZCTA5 00757,757
41.3,8721.0,16149.0,11211.0,ZCTA5 00765,765
37.8,23931.0,19595.0,10406.0,ZCTA5 00766,766
41.6,35042.0,15573.0,8668.0,ZCTA5 00767,767
39.4,39605.0,19215.0,10328.0,ZCTA5 00769,769
38.0,37705.0,20332.0,10254.0,ZCTA5 00771,771
37.2,20784.0,15032.0,7516.0,ZCTA5 00772,772
39.8,18952.0,19377.0,10434.0,ZCTA5 00773,773
39.1,1480.0,23092.0,11291.0,ZCTA5 00775,775
