Zip_Codes,Lat,Lon
75001,32.96,-96.84
75002,33.08,-96.61
75006,32.95,-96.89
75007,33.0,-96.9
75009,33.3,-96.8
75010,33.03,-96.9
75013,33.12,-96.69
75019,32.96,-96.98
75022,33.03,-97.12
75023,33.05,-96.73
75024,33.08,-96.81
75025,33.1,-96.73
75028,33.03,-97.07
75033,,
75034,33.12,-96.88
75035,33.16,-96.77
75036,,
75038,32.88,-96.98
75039,32.88,-96.95
75040,32.93,-96.62
75041,32.88,-96.65
75042,32.92,-96.68
75043,32.86,-96.59
75044,32.96,-96.65
75048,32.97,-96.58
75050,32.78,-96.99
75051,32.73,-96.99
75052,32.65,-97.02
75054,32.6,-97.04
75056,33.07,-96.9
75057,33.05,-96.98
75060,32.79,-96.95
75061,32.83,-97.01
75062,32.85,-96.96
75063,32.92,-96.98
75065,33.12,-97.03
75067,33.02,-96.99
75068,33.15,-96.95
75069,33.18,-96.59
75070,33.16,-96.72
75071,33.3,-96.6
75072,,
75074,33.04,-96.67
75075,33.02,-96.75
75077,33.08,-97.07
75078,33.26,-96.82
75080,32.97,-96.74
75081,32.95,-96.72
75082,32.99,-96.66
75088,32.89,-96.55
75089,32.94,-96.55
75093,33.04,-96.81
75094,33.01,-96.62
75098,33.02,-96.52
75104,32.59,-96.96
75115,32.61,-96.87
75116,32.66,-96.92
75134,32.63,-96.76
75137,32.63,-96.91
75141,32.64,-96.7
75146,32.57,-96.74
75149,32.77,-96.62
75150,32.82,-96.63
75159,32.6,-96.6
75166,33.02,-96.45
75172,32.61,-96.67
75173,33.06,-96.38
75180,32.72,-96.61
75181,32.74,-96.55
75182,32.79,-96.56
75201,32.79,-96.8
75202,32.78,-96.8
75203,32.74,-96.79
75204,32.8,-96.79
75205,32.83,-96.79
75206,32.83,-96.77
75207,32.78,-96.82
75208,32.75,-96.84
75209,32.84,-96.83
75210,32.76,-96.74
75211,32.74,-96.92
75212,32.78,-96.87
75214,32.83,-96.74
75215,32.75,-96.77
75216,32.71,-96.77
75217,32.7,-96.68
75218,32.84,-96.7
75219,32.81,-96.82
75220,32.86,-96.87
75223,32.79,-96.75
75224,32.71,-96.84
75225,32.87,-96.79
75226,32.78,-96.78
75227,32.77,-96.69
75228,32.83,-96.68
75229,32.9,-96.89
75230,32.9,-96.79
75231,32.88,-96.75
75232,32.66,-96.84
75233,32.71,-96.87
75234,32.92,-96.9
75235,32.83,-96.85
75236,32.69,-96.94
75237,32.66,-96.87
