Zip Code,City,County,Type
73301,Austin,Travis,Unique
73344,Austin,Travis,Unique
73960,Texhoma,Sherman,P.O. Box
75001,Addison,Dallas,Standard
75002,Allen,Collin,Standard
75006,Carrollton,Dallas,Standard
75007,Carrollton,Denton,Standard
75009,Celina,Collin,Standard
75010,Carrollton,Denton,Standard
75011,Carrollton,Dallas,P.O. Box
75013,Allen,Collin,Standard
75014,Irving,Dallas,P.O. Box
75015,Irving,Dallas,P.O. Box
75016,Irving,Dallas,P.O. Box
75017,Irving,Dallas,P.O. Box
75019,Coppell,Dallas,Standard
75020,Denison,Grayson,Standard
75021,Denison,Grayson,Standard
75022,Flower Mound,Denton,Standard
75023,Plano,Collin,Standard
75024,Plano,Collin,Standard
75025,Plano,Collin,Standard
75026,Plano,Collin,P.O. Box
75027,Flower Mound,Denton,P.O. Box
75028,Flower Mound,Denton,Standard
75029,Lewisville,Denton,P.O. Box
75030,Rowlett,Dallas,P.O. Box
75032,Rockwall,Rockwall,Standard
75033,Frisco,Denton,Standard
75034,Frisco,Denton,Standard
75035,Frisco,Collin,Standard
75036,Frisco,Denton,Standard
75038,Irving,Dallas,Standard
75039,Irving,Dallas,Standard
75040,Garland,Dallas,Standard
75041,Garland,Dallas,Standard
75042,Garland,Dallas,Standard
75043,Garland,Dallas,Standard
75044,Garland,Dallas,Standard
75045,Garland,Dallas,P.O. Box
75046,Garland,Dallas,P.O. Box
75047,Garland,Dallas,P.O. Box
75048,Sachse,Dallas,Standard
75049,Garland,Dallas,P.O. Box
75050,Grand Prairie,Dallas,Standard
75051,Grand Prairie,Dallas,Standard
75052,Grand Prairie,Dallas,Standard
75053,Grand Prairie,Dallas,P.O. Box
75054,Grand Prairie,Dallas,Standard
75056,The Colony,Denton,Standard
75057,Lewisville,Denton,Standard
75058,Gunter,Grayson,Standard
75059,Irving,Dallas,Unique
75060,Irving,Dallas,Standard
75061,Irving,Dallas,Standard
75062,Irving,Dallas,Standard
75063,Irving,Dallas,Standard
75064,Irving,Dallas,Unique
75065,Lake Dallas,Denton,Standard
75067,Lewisville,Denton,Standard
75068,Little Elm,Denton,Standard
75069,Mckinney,Collin,Standard
75070,Mckinney,Collin,Standard
75071,Mckinney,Collin,Standard
75072,Mckinney,Collin,Standard
75074,Plano,Collin,Standard
75075,Plano,Collin,Standard
75076,Pottsboro,Grayson,Standard
75077,Lewisville,Denton,Standard
75078,Prosper,Collin,Standard
75080,Richardson,Dallas,Standard
75081,Richardson,Dallas,Standard
75082,Richardson,Dallas,Standard
75083,Richardson,Dallas,P.O. Box
75085,Richardson,Dallas,P.O. Box
75086,Plano,Collin,P.O. Box
75087,Rockwall,Rockwall,Standard
75088,Rowlett,Dallas,Standard
75089,Rowlett,Dallas,Standard
75090,Sherman,Grayson,Standard
75091,Sherman,Grayson,P.O. Box
75092,Sherman,Grayson,Standard
75093,Plano,Collin,Standard
75094,Plano,Collin,Standard
75097,Weston,Collin,P.O. Box
75098,Wylie,Collin,Standard
75099,Coppell,Dallas,Unique
75101,Bardwell,Ellis,P.O. Box
75102,Barry,Navarro,Standard
75103,Canton,Van Zandt,Standard
